id_cliente,data_assinatura,valor_mensalidade,total_logs_app_30d,tickets_suporte_abertos,score_sentimento_voc,categoria_principal_voc,churn
C100061,2024-03-03,477,16,0,-0.85,BUGS,0
C100062,2024-05-23,698,16,1,0.833,API,0
C100063,2023-02-04,579,14,4,-1.0,SUPORTE,1
C100064,2023-07-25,1205,9,1,0.417,SUPORTE,0
C100065,2023-03-22,1587,13,0,0.814,BUGS,0
C100066,2024-07-15,516,13,0,0.55,API,1
C100067,2024-01-23,600,10,0,0.226,SUPORTE,0
C100068,2023-01-02,1252,17,1,0.428,BUGS,0
C100069,2024-01-25,180,14,0,0.123,SUPORTE,0
C100070,2024-07-19,202,16,0,0.314,BUGS,0
C100071,2023-04-16,288,14,1,0.133,FINANCEIRO,0
C100072,2024-04-21,863,14,1,-0.054,API,0
C100073,2024-12-03,528,18,1,0.925,BUGS,1
C100074,2024-02-06,291,12,0,0.756,SUPORTE,1
C100075,2024-12-30,1157,15,1,0.225,SUPORTE,0
C100076,2024-07-09,113,21,2,0.334,SUPORTE,1
C100077,2023-06-11,279,16,0,-0.013,API,1
C100078,2023-07-21,444,14,0,0.52,FINANCEIRO,0
C100079,2023-09-27,1582,16,0,0.308,BUGS,0
C100080,2023-09-28,286,16,2,0.095,FINANCEIRO,0
C100081,2024-03-31,740,12,3,0.298,SUPORTE,0
C100082,2024-04-06,443,24,2,0.382,SUPORTE,1
C100083,2024-12-27,167,18,0,-0.043,SUPORTE,0
C100084,2023-09-09,730,17,2,0.72,API,0
C100085,2024-12-02,394,13,1,0.773,FINANCEIRO,0
C100086,2023-10-23,322,11,1,-0.08,BUGS,1
C100087,2024-12-25,142,11,0,1.0,FINANCEIRO,0
C100088,2024-12-20,531,26,3,-0.162,BUGS,0
C100089,2023-12-04,1345,26,1,0.718,API,0
C100090,2023-02-22,298,16,2,0.541,SUPORTE,1
C100091,2023-08-05,182,11,0,0.67,API,1
C100092,2023-07-07,100,24,0,1.0,SUPORTE,1
C100093,2024-01-15,100,9,1,0.103,BUGS,0
C100094,2024-05-07,452,15,5,0.121,SUPORTE,0
C100095,2023-02-10,535,10,2,0.412,FINANCEIRO,1
C100096,2023-06-06,670,13,0,-0.512,FINANCEIRO,1
C100097,2023-01-15,468,17,4,0.238,SUPORTE,0
C100098,2023-03-06,575,19,1,0.54,API,0
C100099,2024-06-04,1334,19,0,0.036,API,0
C100100,2023-12-10,1156,11,0,1.0,SUPORTE,0
C100101,2023-05-09,1117,20,0,0.531,API,1
C100102,2024-10-09,1004,13,3,-0.189,API,0
C100103,2024-04-16,799,18,0,0.094,FINANCEIRO,0
C100104,2023-03-04,110,15,0,-0.045,API,0
C100105,2023-05-19,421,13,0,-0.048,BUGS,0
C100106,2024-05-13,615,13,0,0.499,API,0
C100107,2024-08-15,234,19,1,0.554,BUGS,0
C100108,2024-01-27,1486,14,1,0.515,API,1
C100109,2024-11-05,384,18,0,0.719,SUPORTE,0
C100110,2024-02-23,100,18,2,0.491,FINANCEIRO,1
C100111,2023-10-16,365,21,0,1.0,SUPORTE,0
C100112,2024-01-14,681,16,0,0.813,SUPORTE,0
C100113,2024-05-04,234,15,0,-0.167,BUGS,0
C100114,2023-08-19,447,11,1,0.277,API,0
C100115,2023-02-10,100,12,15,-0.994,API,1
C100116,2023-01-28,349,23,1,0.391,FINANCEIRO,0
C100117,2023-05-15,506,13,1,-0.424,BUGS,0
C100118,2023-07-20,467,10,0,0.183,FINANCEIRO,0
C100119,2023-02-02,882,12,2,0.166,SUPORTE,0
C100120,2023-02-17,210,15,2,-0.422,SUPORTE,1
C100121,2024-05-17,652,8,2,0.188,FINANCEIRO,0
C100122,2024-02-11,754,20,1,0.163,API,0
C100123,2024-07-27,275,27,5,-0.327,SUPORTE,1
C100124,2024-12-28,233,9,2,0.651,API,0
C100125,2023-04-09,1494,16,4,-0.014,BUGS,1
C100126,2024-11-14,392,14,2,0.803,BUGS,1
C100127,2024-12-26,675,15,0,0.453,API,0
C100128,2024-06-30,697,19,1,0.145,SUPORTE,0
C100129,2024-09-04,130,16,1,-0.174,SUPORTE,0
C100130,2024-04-06,584,16,1,-0.277,FINANCEIRO,0
C100131,2024-10-04,562,24,3,0.384,FINANCEIRO,1
C100132,2023-01-05,1499,13,2,0.412,SUPORTE,0
C100133,2023-08-06,562,12,0,-0.1,BUGS,0
C100134,2024-05-17,859,12,0,-0.284,FINANCEIRO,0
C100135,2024-02-02,884,13,0,0.68,FINANCEIRO,1
C100136,2024-01-28,403,18,0,0.752,FINANCEIRO,1
C100137,2023-07-26,1872,19,0,-0.023,SUPORTE,0
C100138,2023-01-15,262,10,4,0.008,API,0
C100139,2024-07-07,100,15,1,0.558,API,1
C100140,2024-04-05,336,12,0,-0.231,SUPORTE,0
C100141,2024-11-21,100,18,2,-0.158,BUGS,0
C100142,2024-07-28,277,12,0,0.729,BUGS,0
C100143,2023-08-29,502,10,1,-0.196,SUPORTE,1
C100144,2024-07-17,604,16,0,0.394,FINANCEIRO,0
C100145,2023-04-06,368,17,2,0.319,SUPORTE,1
C100146,2024-04-29,275,13,2,-0.369,FINANCEIRO,0
C100147,2024-02-11,333,13,0,0.821,API,1
C100148,2023-08-19,741,13,0,-0.449,API,0
C100149,2024-10-16,196,9,1,0.379,SUPORTE,1
C100150,2023-06-20,276,20,0,0.17,API,0
C100151,2024-06-24,639,11,0,0.362,FINANCEIRO,0
C100152,2023-02-05,540,7,1,0.103,API,0
C100153,2024-06-08,100,11,1,-0.306,API,1
C100154,2023-06-09,1026,10,0,0.15,BUGS,0
C100155,2024-11-29,340,15,2,0.489,BUGS,0
C100156,2023-08-31,175,19,5,0.019,SUPORTE,1
C100157,2023-03-27,136,17,0,0.132,SUPORTE,1
C100158,2024-07-31,1036,24,3,-0.702,BUGS,0
C100159,2024-11-12,100,20,2,-0.144,BUGS,0
C100160,2024-07-10,680,15,1,-0.071,API,1
C100161,2024-07-27,905,14,0,0.759,SUPORTE,1
C100162,2024-10-07,364,16,1,0.116,FINANCEIRO,1
C100163,2023-01-28,1404,14,0,0.594,API,0
C100164,2024-09-11,207,16,1,-0.079,BUGS,1
C100165,2024-07-09,737,11,5,-0.972,SUPORTE,1
C100166,2023-12-06,545,17,1,0.812,BUGS,0
C100167,2023-11-27,1526,13,1,-0.105,SUPORTE,0
C100168,2024-10-01,399,16,1,0.777,FINANCEIRO,1
C100169,2024-05-20,683,18,0,0.271,BUGS,1
C100170,2023-12-14,542,9,1,0.93,API,1
C100171,2024-04-17,111,14,2,1.0,SUPORTE,1
C100172,2023-08-19,446,11,0,0.532,API,0
C100173,2023-07-09,304,9,1,-0.443,API,0
C100174,2023-08-13,545,17,0,0.645,FINANCEIRO,0
C100175,2024-01-20,693,20,0,0.588,API,0
C100176,2024-01-12,1220,10,0,-0.317,FINANCEIRO,1
C100177,2023-10-10,100,17,0,0.04,API,0
C100178,2024-09-24,500,15,2,0.03,FINANCEIRO,1
C100179,2024-09-19,147,16,1,0.487,API,0
C100180,2023-09-16,744,12,1,-0.188,API,1
C100181,2023-12-25,1946,21,2,-0.209,API,0
C100182,2024-12-10,381,18,1,-0.256,FINANCEIRO,0
C100183,2024-03-31,252,19,3,-0.696,API,1
C100184,2024-02-15,338,10,1,0.564,API,0
C100185,2024-10-10,149,13,4,0.171,SUPORTE,0
C100186,2023-11-14,100,15,3,0.595,BUGS,0
C100187,2024-11-07,607,21,1,0.003,API,0
C100188,2023-08-13,483,19,1,-0.033,BUGS,0
C100189,2023-08-22,258,12,1,0.441,API,1
C100190,2024-11-14,184,17,0,0.815,SUPORTE,1
C100191,2024-10-25,900,14,1,0.782,API,0
C100192,2024-01-09,1153,14,3,-0.368,BUGS,1
C100193,2024-11-02,553,16,1,0.783,BUGS,1
C100194,2024-08-30,100,15,2,1.0,SUPORTE,1
C100195,2024-04-16,431,14,1,0.501,FINANCEIRO,0
C100196,2023-08-21,641,14,1,0.869,SUPORTE,0
C100197,2024-11-22,393,21,4,0.472,BUGS,1
C100198,2023-04-23,432,17,3,-0.341,SUPORTE,0
C100199,2024-05-11,275,10,0,0.767,BUGS,0
C100200,2024-03-17,401,16,0,0.554,BUGS,0
C100201,2024-07-17,960,11,1,-0.25,BUGS,0
C100202,2023-09-25,578,12,1,-0.014,SUPORTE,1
C100203,2024-05-24,313,21,1,0.566,API,1
C100204,2024-01-21,394,18,0,1.0,BUGS,0
C100205,2024-01-22,1224,15,4,1.0,BUGS,0
C100206,2023-04-23,188,11,1,-0.74,API,1
C100207,2024-09-04,278,19,1,0.34,SUPORTE,0
C100208,2024-09-16,431,18,1,1.0,FINANCEIRO,0
C100209,2023-03-22,297,17,1,0.118,FINANCEIRO,1
C100210,2024-11-29,1184,14,2,-0.013,BUGS,0
C100211,2023-04-23,976,11,0,0.041,BUGS,0
C100212,2023-01-02,423,21,1,0.782,API,0
C100213,2024-10-03,1843,11,1,0.452,BUGS,0
C100214,2023-08-08,611,14,0,0.607,SUPORTE,0
C100215,2024-07-19,1345,12,0,0.222,API,0
C100216,2023-08-13,1259,19,1,1.0,BUGS,0
C100217,2024-01-20,678,16,0,0.203,SUPORTE,1
C100218,2024-02-07,175,17,0,0.81,API,0
C100219,2024-09-29,523,13,0,-0.708,BUGS,0
C100220,2023-05-10,270,18,0,0.361,FINANCEIRO,1
C100221,2023-02-22,734,9,3,-0.095,SUPORTE,1
C100222,2024-11-14,651,9,0,0.342,SUPORTE,0
C100223,2024-12-30,589,7,2,-0.642,API,1
C100224,2024-11-02,869,18,1,1.0,FINANCEIRO,1
C100225,2024-12-10,630,18,1,0.413,BUGS,0
C100226,2024-02-20,465,12,3,1.0,BUGS,0
C100227,2023-09-04,161,18,0,0.772,SUPORTE,0
C100228,2024-03-14,293,11,3,0.292,API,0
C100229,2023-07-22,202,22,1,0.378,FINANCEIRO,0
C100230,2023-07-03,907,11,0,0.642,API,1
C100231,2023-05-03,442,14,1,0.669,API,0
C100232,2024-02-05,591,18,0,0.632,FINANCEIRO,0
C100233,2023-10-21,336,19,1,1.0,SUPORTE,0
C100234,2023-10-07,1064,16,0,0.939,API,0
C100235,2024-09-01,769,10,1,-0.066,BUGS,0
C100236,2023-07-17,539,12,0,-0.077,API,0
C100237,2024-05-25,480,18,0,0.601,BUGS,1
C100238,2023-05-24,246,20,0,0.493,SUPORTE,1
C100239,2024-08-31,299,19,3,0.379,BUGS,0
C100240,2023-07-20,111,13,1,-0.531,API,1
C100241,2023-05-04,780,11,0,0.756,API,0
C100242,2023-07-06,830,16,2,0.073,SUPORTE,1
C100243,2023-11-22,856,9,0,1.0,SUPORTE,1
C100244,2024-04-08,215,18,4,0.298,API,0
C100245,2023-12-15,1287,7,0,0.215,BUGS,0
C100246,2024-10-21,382,21,1,0.606,BUGS,1
C100247,2024-02-07,716,19,0,0.062,BUGS,0
C100248,2023-12-12,158,13,1,1.0,SUPORTE,1
C100249,2024-05-25,1100,13,0,1.0,API,1
C100250,2023-05-27,807,11,2,0.576,BUGS,1
C100251,2023-05-28,395,15,0,0.684,API,0
C100252,2024-12-11,339,18,0,0.086,BUGS,0
C100253,2024-05-03,794,16,1,0.306,API,0
C100254,2024-10-01,1098,12,2,0.492,BUGS,1
C100255,2024-07-04,247,18,0,-0.194,API,0
C100256,2023-12-04,463,13,0,1.0,API,0
C100257,2024-10-02,329,10,0,-0.467,BUGS,0
C100258,2024-04-17,1133,19,0,-0.645,FINANCEIRO,0
C100259,2023-05-31,302,20,1,1.0,API,1
C100260,2024-02-19,164,13,2,0.619,BUGS,1
C100261,2023-10-25,819,16,0,-0.112,FINANCEIRO,1
C100262,2024-09-02,1216,16,2,0.338,BUGS,1
C100263,2023-09-20,786,15,2,0.368,SUPORTE,0
C100264,2023-05-24,1040,22,0,0.472,FINANCEIRO,0
C100265,2023-12-12,1761,13,1,-0.237,BUGS,0
C100266,2024-09-15,1534,16,2,0.418,BUGS,0
C100267,2024-07-25,1546,13,0,0.912,API,0
C100268,2023-01-02,333,14,2,-0.623,FINANCEIRO,0
C100269,2023-10-31,825,15,0,0.108,SUPORTE,0
C100270,2023-09-11,564,21,2,-0.27,API,1
C100271,2024-10-13,557,12,0,-0.062,FINANCEIRO,1
C100272,2024-03-28,1070,19,1,0.529,BUGS,0
C100273,2023-02-06,744,13,0,-0.318,BUGS,0
C100274,2023-06-09,475,11,1,1.0,SUPORTE,1
C100275,2023-01-09,287,24,0,0.475,SUPORTE,0
C100276,2023-08-21,749,15,1,0.107,FINANCEIRO,1
C100277,2023-04-09,440,14,1,-0.658,BUGS,0
C100278,2024-10-20,1067,19,1,0.411,SUPORTE,1
C100279,2023-07-27,1044,13,1,0.308,BUGS,1
C100280,2023-05-11,673,16,1,-0.352,BUGS,0
C100281,2024-02-08,199,16,1,-0.186,API,0
C100282,2023-06-01,361,7,2,1.0,API,0
C100283,2023-02-23,1588,25,2,0.155,BUGS,0
C100284,2023-04-30,731,15,1,0.322,SUPORTE,1
C100285,2024-11-03,1213,16,0,0.636,FINANCEIRO,0
C100286,2024-09-19,208,11,1,0.183,API,1
C100287,2024-08-09,2000,9,2,0.867,SUPORTE,1
C100288,2024-09-16,100,11,2,-0.156,FINANCEIRO,1
C100289,2024-02-24,739,14,0,0.127,BUGS,0
C100290,2024-02-26,100,14,1,0.084,API,0
C100291,2023-04-14,1067,12,1,-0.127,API,1
C100292,2023-09-11,248,16,1,-0.129,API,1
C100293,2023-08-15,444,10,1,0.265,FINANCEIRO,0
C100294,2023-04-22,640,20,1,1.0,BUGS,0
C100295,2024-05-24,878,15,3,-0.389,API,0
C100296,2024-04-17,438,14,0,0.246,API,1
C100297,2023-04-09,587,15,19,-0.218,FINANCEIRO,0
C100298,2023-06-02,620,11,3,1.0,API,0
C100299,2023-12-04,530,16,1,0.78,SUPORTE,0
C100300,2024-12-06,433,11,2,0.107,API,0
C100301,2023-06-12,335,25,0,0.17,API,0
C100302,2024-12-20,645,14,18,0.005,FINANCEIRO,0
C100303,2024-11-11,629,18,0,0.821,API,1
C100304,2023-06-10,284,11,0,0.318,SUPORTE,0
C100305,2024-08-02,434,17,0,0.266,BUGS,0
C100306,2024-02-02,100,20,0,1.0,BUGS,1
C100307,2023-10-04,416,14,0,1.0,BUGS,1
C100308,2024-05-18,100,17,3,0.416,FINANCEIRO,1
C100309,2024-01-27,341,11,0,0.413,API,0
C100310,2023-05-15,201,19,8,-0.584,BUGS,1
C100311,2023-07-14,259,15,17,-0.478,BUGS,1
C100312,2024-02-05,1240,8,1,0.834,BUGS,0
C100313,2024-10-01,176,13,1,-0.686,API,1
C100314,2023-02-02,367,19,1,0.641,FINANCEIRO,0
C100315,2024-11-18,640,15,3,0.544,SUPORTE,1
C100316,2024-04-04,100,9,2,0.535,API,1
C100317,2024-04-14,444,12,1,-0.057,BUGS,0
C100318,2024-01-10,597,16,1,0.149,API,0
C100319,2023-01-22,191,21,2,-0.0,SUPORTE,1
C100320,2024-10-31,126,15,17,0.495,SUPORTE,1
C100321,2023-02-07,868,16,0,1.0,BUGS,1
C100322,2023-08-18,100,15,1,0.486,BUGS,1
C100323,2023-12-31,362,11,4,0.127,SUPORTE,0
C100324,2024-07-16,167,23,1,0.376,BUGS,1
C100325,2024-03-13,100,13,2,0.073,SUPORTE,0
C100326,2023-10-10,1077,15,3,-0.74,API,0
C100327,2023-01-27,813,19,1,0.36,FINANCEIRO,1
C100328,2023-08-14,1140,19,1,1.0,SUPORTE,1
C100329,2023-10-04,555,13,1,0.427,BUGS,1
C100330,2024-08-31,167,18,0,0.071,BUGS,1
C100331,2023-10-11,330,7,0,0.4,SUPORTE,1
C100332,2024-04-25,120,12,0,0.21,SUPORTE,1
C100333,2024-03-28,402,17,2,-0.228,FINANCEIRO,1
C100334,2024-10-20,1030,18,0,-0.18,BUGS,0
C100335,2024-05-30,333,13,1,0.298,BUGS,0
C100336,2024-06-30,646,8,0,-0.451,SUPORTE,1
C100337,2023-07-11,608,20,0,0.408,API,0
C100338,2023-02-18,154,12,0,0.277,FINANCEIRO,0
C100339,2024-05-26,158,21,1,0.72,FINANCEIRO,0
C100340,2023-01-17,802,11,0,0.23,API,0
C100341,2023-06-21,228,12,2,-0.306,API,0
C100342,2023-08-08,672,18,1,0.407,API,0
C100343,2023-06-07,224,12,1,0.792,BUGS,0
C100344,2024-04-21,271,17,2,0.006,FINANCEIRO,0
C100345,2023-02-15,662,18,2,1.0,API,0
C100346,2024-01-08,430,15,0,0.408,API,1
C100347,2024-06-01,376,22,0,0.241,BUGS,1
C100348,2023-04-09,205,15,1,-0.013,API,0
C100349,2023-02-06,546,9,1,0.338,API,1
C100350,2023-10-07,239,23,1,0.333,API,0
C100351,2023-12-15,730,20,0,-0.243,BUGS,0
C100352,2024-05-11,209,13,1,1.0,FINANCEIRO,1
C100353,2023-10-29,373,26,0,0.292,API,1
C100354,2023-06-30,739,11,0,1.0,SUPORTE,0
C100355,2024-08-29,624,17,0,-0.176,API,0
C100356,2023-04-09,660,15,0,0.831,SUPORTE,0
C100357,2024-11-30,447,17,2,0.948,SUPORTE,0
C100358,2023-04-26,167,11,0,0.946,API,0
C100359,2023-07-10,895,12,0,0.52,BUGS,0
C100360,2023-09-10,489,13,1,0.778,API,0
C100361,2023-06-10,286,9,1,0.474,FINANCEIRO,0
C100362,2023-09-13,266,17,1,-0.195,SUPORTE,0
C100363,2023-11-19,1404,14,1,0.497,API,0
C100364,2023-05-08,424,19,1,-0.205,API,0
C100365,2023-01-18,130,19,1,-0.273,SUPORTE,0
C100366,2024-07-19,1105,17,2,0.41,FINANCEIRO,1
C100367,2024-07-23,371,15,1,0.005,API,1
C100368,2023-11-19,302,16,2,1.0,FINANCEIRO,0
C100369,2024-11-16,182,16,1,1.0,BUGS,0
C100370,2024-09-17,508,12,2,1.0,API,0
C100371,2023-10-15,928,12,1,-0.412,BUGS,0
C100372,2024-10-24,522,16,0,-0.205,SUPORTE,0
C100373,2024-09-30,327,17,0,0.804,BUGS,0
C100374,2023-06-04,107,20,2,0.142,API,0
C100375,2024-05-04,392,16,1,-0.052,SUPORTE,0
C100376,2024-01-21,603,23,1,0.188,BUGS,0
C100377,2023-04-14,228,11,0,0.274,BUGS,1
C100378,2024-01-28,1138,17,0,0.701,FINANCEIRO,0
C100379,2023-09-03,334,14,2,-0.667,FINANCEIRO,0
C100380,2023-06-25,637,13,0,0.534,API,0
C100381,2023-02-08,346,7,2,0.074,BUGS,0
C100382,2024-04-21,846,14,0,-0.056,FINANCEIRO,0
C100383,2024-11-12,545,13,0,1.0,FINANCEIRO,0
C100384,2024-06-21,1360,18,2,0.065,API,0
C100385,2024-02-12,555,17,0,0.198,FINANCEIRO,0
C100386,2024-06-08,722,11,0,0.17,FINANCEIRO,0
C100387,2024-05-20,580,15,11,0.581,API,1
C100388,2023-02-05,170,14,2,0.294,SUPORTE,0
C100389,2024-11-15,1089,15,2,0.215,BUGS,0
C100390,2023-01-20,640,11,1,0.702,BUGS,1
C100391,2023-11-17,736,6,3,-1.0,API,0
C100392,2024-05-26,991,16,1,0.411,FINANCEIRO,1
C100393,2024-02-04,1020,16,0,0.469,API,0
C100394,2024-10-15,186,11,0,0.724,API,0
C100395,2024-04-15,150,11,0,0.457,SUPORTE,0
C100396,2023-05-23,245,14,0,-0.225,FINANCEIRO,1
C100397,2023-04-02,155,12,0,-0.509,SUPORTE,1
C100398,2023-12-20,340,9,2,0.509,API,0
C100399,2024-12-27,173,16,1,0.064,SUPORTE,1
C100400,2023-02-20,184,18,1,0.166,API,1
C100401,2024-10-26,625,6,0,-0.169,SUPORTE,0
C100402,2024-11-28,100,13,1,0.287,API,1
C100403,2024-07-28,504,7,0,0.234,API,0
C100404,2023-07-09,892,10,0,-0.311,SUPORTE,0
C100405,2023-05-05,887,10,3,0.535,API,0
C100406,2023-05-30,753,16,0,0.003,SUPORTE,0
C100407,2023-11-10,823,9,1,0.953,FINANCEIRO,1
C100408,2024-07-23,789,11,0,0.416,FINANCEIRO,1
C100409,2023-12-08,180,17,1,0.276,API,0
C100410,2023-11-01,402,14,0,-0.414,BUGS,0
C100411,2024-11-22,767,19,2,0.56,BUGS,1
C100412,2024-11-12,330,14,1,0.27,FINANCEIRO,0
C100413,2023-02-23,332,15,2,0.336,BUGS,0
C100414,2024-03-19,594,6,3,0.768,FINANCEIRO,1
C100415,2024-09-04,1500,11,1,0.695,SUPORTE,0
C100416,2023-09-21,867,20,0,0.957,API,1
C100417,2023-02-22,100,22,3,-0.936,API,1
C100418,2024-07-25,549,24,0,0.335,API,0
C100419,2024-09-11,202,13,0,-0.466,SUPORTE,0
C100420,2023-01-05,908,16,0,0.596,API,0
C100421,2023-04-13,1158,15,0,-0.591,API,1
C100422,2023-07-15,1664,11,1,0.787,BUGS,0
C100423,2023-12-16,884,15,1,1.0,SUPORTE,0
C100424,2023-02-16,703,19,0,0.298,API,0
C100425,2024-10-17,723,21,0,0.581,FINANCEIRO,1
C100426,2023-09-26,198,19,1,1.0,BUGS,0
C100427,2024-01-05,463,11,0,1.0,API,0
C100428,2024-09-27,560,22,3,1.0,FINANCEIRO,0
C100429,2023-04-16,280,14,0,0.609,BUGS,1
C100430,2024-10-31,683,13,3,0.987,BUGS,0
C100431,2024-10-20,1816,21,0,-0.073,BUGS,0
C100432,2024-10-18,761,12,0,-0.022,SUPORTE,0
C100433,2023-04-30,475,18,1,0.798,API,0
C100434,2024-08-26,696,12,1,0.284,BUGS,0
C100435,2023-02-27,552,14,1,0.627,FINANCEIRO,0
C100436,2023-12-12,392,22,1,0.828,SUPORTE,0
C100437,2024-04-18,128,25,2,0.815,FINANCEIRO,1
C100438,2023-04-27,798,9,4,-0.836,SUPORTE,0
C100439,2023-05-07,686,17,0,0.711,API,0
C100440,2024-01-28,687,17,0,0.054,API,0
C100441,2024-10-02,1093,11,2,0.338,API,1
C100442,2023-02-27,325,15,1,0.078,SUPORTE,0
C100443,2024-09-25,474,14,3,-0.021,SUPORTE,1
C100444,2024-05-27,237,12,1,-0.04,SUPORTE,1
C100445,2023-04-06,314,12,1,0.65,BUGS,0
C100446,2024-09-29,146,13,12,-0.354,FINANCEIRO,1
C100447,2023-04-28,252,11,2,0.085,API,0
C100448,2024-07-13,642,13,0,0.164,API,1
C100449,2024-08-23,1706,18,2,0.574,BUGS,0
C100450,2024-05-02,174,24,1,-0.037,API,0
C100451,2023-08-25,388,20,0,1.0,BUGS,0
C100452,2023-09-29,1509,13,3,-0.148,FINANCEIRO,0
C100453,2023-07-08,719,16,3,-0.009,SUPORTE,0
C100454,2024-12-04,611,13,1,0.291,SUPORTE,0
C100455,2024-03-22,225,17,1,0.557,BUGS,0
C100456,2024-08-03,421,12,2,0.128,SUPORTE,0
C100457,2023-09-04,293,14,1,0.173,API,1
C100458,2023-03-17,673,12,0,0.861,FINANCEIRO,0
C100459,2023-06-03,685,9,2,-0.946,SUPORTE,0
C100460,2024-10-17,341,18,0,0.092,FINANCEIRO,1
C100461,2024-03-10,396,9,1,-0.173,FINANCEIRO,1
C100462,2023-03-27,1096,11,0,0.107,FINANCEIRO,0
C100463,2024-11-27,1182,19,0,1.0,BUGS,0
C100464,2023-10-12,368,17,0,0.029,BUGS,0
C100465,2023-08-08,376,15,6,0.003,API,1
C100466,2023-03-10,164,14,1,0.564,SUPORTE,1
C100467,2023-02-16,395,17,1,-0.072,SUPORTE,0
C100468,2023-04-04,506,9,0,-0.854,API,0
C100469,2024-03-28,650,15,1,-0.979,BUGS,0
C100470,2023-07-23,407,16,2,0.926,SUPORTE,0
C100471,2023-08-06,1241,13,2,0.457,API,0
C100472,2024-04-18,1283,14,2,0.076,API,0
C100473,2024-03-07,1734,12,0,0.149,API,0
C100474,2023-12-07,649,25,0,0.025,SUPORTE,0
C100475,2024-07-04,393,13,0,0.411,API,0
C100476,2024-09-03,614,20,0,0.762,BUGS,0
C100477,2023-10-16,415,13,1,-0.168,BUGS,0
C100478,2023-09-11,1100,13,1,0.409,API,0
C100479,2023-12-23,799,6,1,-0.222,API,0
C100480,2023-01-23,338,17,2,0.224,FINANCEIRO,0
C100481,2024-06-05,809,14,1,0.009,FINANCEIRO,0
C100482,2023-04-10,100,11,0,0.765,FINANCEIRO,0
